A,1000001,B,5,900
A,1000002,B,5,925
A,1000003,B,5,950
A,1000004,B,5,975
A,1000005,B,5,1000
A,1000006,S,5,1050
A,1000007,S,5,1075
A,1000008,S,5,1100
A,1000009,S,5,1125
A,1000010,S,5,1150
A,1000011,S,1,1125
M,1000009,S,4,1125
X,1000011,S,1,1125
M,1000001,B,8,900
A,1000012,B,9,950
M,1000001,B,6,900
M,1000006,S,8,1050
M,1000007,S,7,1075
M,1000009,S,8,1125
M,1000007,S,8,1075
M,1000001,B,7,900
M,1000004,B,4,975
M,1000007,S,3,1075
M,1000001,B,5,900
M,1000007,S,10,1075
M,1000009,S,6,1125
M,1000001,B,6,900
M,1000001,B,5,900
M,1000006,S,7,1050
M,1000002,B,6,925
M,1000001,B,1,900
M,1000004,B,8,975
M,1000004,B,2,975
M,1000001,B,2,900
A,1000013,S,5,1050
M,1000002,B,1,925
M,1000004,B,6,975
M,1000002,B,2,925
M,1000005,B,7,1000
A,1000014,S,4,1100
M,1000009,S,10,1125
M,1000007,S,2,1075
M,1000008,S,7,1100
M,1000008,S,5,1100
A,1000015,S,7,1075
M,1000005,B,5,1000
M,1000014,S,2,1100
A,1000016,S,3,1150
M,1000001,B,1,900
M,1000012,B,1,950
A,1000017,S,3,1075
X,1000007,S,2,1075
M,1000014,S,8,1100
M,1000002,B,4,925
M,1000016,S,8,1150
A,1000018,B,5,925
M,1000005,B,1,1000
M,1000005,B,9,1000
M,1000005,B,3,1000
M,1000002,B,1,925
M,1000001,B,4,900
X,1000006,S,7,1050
M,1000004,B,2,975
M,1000018,B,8,925
A,1000019,S,1,1075
M,1000001,B,3,900
M,1000013,S,3,1050
A,1000020,S,1,1075
M,1000003,B,6,950
M,1000019,S,2,1075
M,1000012,B,6,950
A,1000021,S,8,1050
M,1000009,S,9,1125
M,1000013,S,7,1050
M,1000021,S,10,1050
M,1000004,B,3,975
M,1000021,S,1,1050
M,1000021,S,6,1050
M,1000004,B,10,975
M,1000005,B,10,1000
M,1000004,B,5,975
A,1000022,S,5,1075
M,1000013,S,9,1050
M,1000014,S,1,1100
M,1000004,B,3,975
A,1000023,S,4,1150
M,1000001,B,5,900
M,1000015,S,2,1075
M,1000018,B,10,925
A,1000024,S,3,1050
A,1000025,B,2,925
A,1000026,S,1,1100
M,1000005,B,4,1000
A,1000027,S,2,1150
M,1000012,B,3,950
M,1000008,S,4,1100
M,1000005,B,9,1000
M,1000002,B,5,925
M,1000009,S,6,1125
M,1000004,B,5,975
M,1000004,B,2,975
M,1000024,S,2,1050
M,1000009,S,10,1125
A,1000028,S,8,1050
M,1000005,B,2,1000
M,1000003,B,2,950
M,1000009,S,6,1125
M,1000010,S,7,1150
M,1000004,B,5,975
M,1000004,B,1,975
M,1000026,S,9,1100
X,1000020,S,1,1075
A,1000029,S,2,1075
M,1000013,S,3,1050
M,1000002,B,6,925
M,1000024,S,7,1050
M,1000009,S,9,1125
M,1000027,S,9,1150
M,1000009,S,10,1125
M,1000014,S,9,1100
A,1000030,S,6,1125
M,1000018,B,8,925
M,1000016,S,3,1150
A,1000031,S,10,1100
M,1000001,B,4,900
M,1000026,S,5,1100
M,1000012,B,10,950
M,1000018,B,9,925
M,1000001,B,6,900
M,1000031,S,6,1100
M,1000005,B,9,1000
M,1000004,B,3,975
M,1000019,S,1,1075
M,1000022,S,3,1075
M,1000005,B,7,1000
M,1000012,B,8,950
M,1000001,B,1,900
M,1000002,B,2,925
M,1000004,B,8,975
M,1000008,S,2,1100
M,1000004,B,4,975
A,1000032,S,11,975
T,B,7,1000
T,B,4,975
X,1000032,S,11,975
X,1000005,B,7,1000
X,1000004,B,4,975
A,1000033,S,2,975
A,1000034,S,9,1000
A,1000035,S,5,1025
A,1000036,B,10,875
A,1000037,B,9,850
X,1000016,S,3,1150
X,1000010,S,7,1150
X,1000027,S,9,1150
X,1000023,S,4,1150
X,1000009,S,10,1125
X,1000030,S,6,1125
X,1000008,S,2,1100
X,1000026,S,5,1100
X,1000014,S,9,1100
X,1000031,S,6,1100
A,1000038,B,9,850
M,1000037,B,6,850
A,1000039,B,8,900
M,1000037,B,8,850
M,1000034,S,3,1000
M,1000028,S,5,1050
M,1000037,B,5,850
M,1000025,B,3,925
A,1000040,B,10,850
X,1000029,S,2,1075
M,1000019,S,4,1075
M,1000034,S,7,1000
M,1000033,S,4,975
A,1000041,B,9,875
X,1000038,B,9,850
M,1000022,S,2,1075
M,1000019,S,6,1075
A,1000042,B,7,925
M,1000034,S,10,1000
M,1000017,S,6,1075
M,1000012,B,5,950
M,1000034,S,5,1000
M,1000024,S,6,1050
M,1000034,S,9,1000
M,1000035,S,6,1025
M,1000039,B,1,900
M,1000035,S,7,1025
M,1000022,S,4,1075
A,1000043,B,1,850
M,1000017,S,3,1075
M,1000041,B,10,875
A,1000044,B,5,950
M,1000017,S,4,1075
M,1000021,S,7,1050
X,1000001,B,1,900
M,1000033,S,8,975
M,1000012,B,2,950
A,1000045,S,26,925
T,B,2,950
T,B,2,950
T,B,5,950
T,B,2,925
T,B,9,925
T,B,3,925
T,B,3,925
X,1000045,S,26,925
X,1000003,B,2,950
X,1000012,B,2,950
X,1000044,B,5,950
X,1000002,B,2,925
X,1000018,B,9,925
X,1000025,B,3,925
M,1000042,B,4,925
A,1000046,S,8,950
A,1000047,B,3,825
X,1000015,S,2,1075
X,1000017,S,4,1075
X,1000019,S,6,1075
X,1000022,S,4,1075
M,1000039,B,6,900
M,1000047,B,5,825
A,1000048,B,3,875
M,1000039,B,1,900
M,1000048,B,1,875
M,1000046,S,3,950
M,1000039,B,9,900
M,1000033,S,6,975
M,1000033,S,10,975
M,1000047,B,3,825
M,1000033,S,2,975
M,1000047,B,1,825
M,1000036,B,5,875
M,1000035,S,9,1025
M,1000042,B,9,925
M,1000021,S,9,1050
M,1000046,S,4,950
M,1000048,B,6,875
M,1000042,B,4,925
M,1000033,S,7,975
M,1000039,B,4,900
A,1000049,B,7,825
M,1000034,S,1,1000
M,1000039,B,5,900
M,1000046,S,2,950
M,1000042,B,8,925
M,1000034,S,5,1000
M,1000046,S,4,950
M,1000035,S,7,1025
M,1000028,S,4,1050
M,1000035,S,4,1025
X,1000013,S,3,1050
A,1000050,B,9,900
M,1000039,B,10,900
M,1000033,S,10,975
A,1000051,S,3,950
M,1000033,S,6,975
M,1000039,B,9,900
M,1000034,S,10,1000
M,1000049,B,6,825
M,1000033,S,5,975
M,1000033,S,7,975
M,1000046,S,2,950
X,1000041,B,10,875
M,1000047,B,10,825
M,1000051,S,6,950
M,1000034,S,6,1000
M,1000024,S,3,1050
M,1000033,S,1,975
M,1000028,S,2,1050
M,1000046,S,5,950
A,1000052,B,10,825
M,1000028,S,4,1050
M,1000042,B,1,925
M,1000034,S,5,1000
M,1000050,B,6,900
M,1000035,S,8,1025
